x	y	stress_xx
 1.0000000000e+00	 0.0000000000e+00	 1.8008852081e-03
 9.9994489297e-01	 1.0498143933e-02	 4.4444178766e-03
 9.9977862859e-01	 2.1040290185e-02	 1.4794871854e-02
 9.9949980627e-01	 3.1624946766e-02	 3.2370359697e-02
 9.9910704558e-01	 4.2250579451e-02	 5.6805068864e-02
 9.9859898759e-01	 5.2915611885e-02	 8.7843949995e-02
 1.0074074074e+00	 0.0000000000e+00	 2.2194428200e-01
 1.0073518922e+00	 1.0575907962e-02	 2.2453854840e-01
 1.0071843962e+00	 2.1196144186e-02	 2.3409124293e-01
 1.0069035085e+00	 3.1859205630e-02	 2.5022928366e-01
 1.0065078385e+00	 4.2563546706e-02	 2.7270109855e-01
 1.0059960171e+00	 5.3307579380e-02	 3.0137063658e-01
 1.0148148148e+00	 0.0000000000e+00	 4.3258784344e-01
 1.0147588914e+00	 1.0653671991e-02	 4.3514248104e-01
 1.0145901638e+00	 2.1351998187e-02	 4.4399093786e-01
 1.0143072108e+00	 3.2093464495e-02	 4.5883182487e-01
 1.0139086314e+00	 4.2876513961e-02	 4.7949110735e-01
 1.0133930467e+00	 5.3699546876e-02	 5.0591549712e-01
 1.0222222222e+00	 0.0000000000e+00	 6.3327370193e-01
 1.0221658906e+00	 1.0731436021e-02	 6.3575944964e-01
 1.0219959314e+00	 2.1507852189e-02	 6.4396762478e-01
 1.0217109131e+00	 3.2327723360e-02	 6.5763258364e-01
 1.0213094244e+00	 4.3189481216e-02	 6.7662230288e-01
 1.0207900762e+00	 5.4091514371e-02	 7.0093120874e-01
 1.0296296296e+00	 0.0000000000e+00	 8.2355813708e-01
 1.0295728898e+00	 1.0809200050e-02	 8.2590816075e-01
 1.0294016991e+00	 2.1663706190e-02	 8.3351139413e-01
 1.0291146153e+00	 3.2561982225e-02	 8.4610313348e-01
 1.0287102173e+00	 4.3502448472e-02	 8.6355899506e-01
 1.0281871057e+00	 5.4483481867e-02	 8.8588723567e-01
 1.0370370370e+00	 0.0000000000e+00	 1.0030110705e+00
 1.0369798890e+00	 1.0886964079e-02	 1.0051222431e+00
 1.0368074667e+00	 2.1819560192e-02	 1.0121281752e+00
 1.0365183176e+00	 3.2796241090e-02	 1.0237314177e+00
 1.0361110102e+00	 4.3815415727e-02	 1.0397819873e+00
 1.0355841353e+00	 5.4875449362e-02	 1.0602692302e+00
 9.9859898759e-01	 5.2915611885e-02	 8.7843949995e-02
 9.9797429622e-01	 6.3618425732e-02	 1.2564253096e-01
 9.9723165959e-01	 7.4357360874e-02	 1.7044435208e-01
 9.9636979142e-01	 8.5130715650e-02	 2.2226046986e-01
 9.9538743238e-01	 9.5936747147e-02	 2.8116700119e-01
 9.9428335150e-01	 1.0677367154e-01	 3.4729444971e-01
 1.0059960171e+00	 5.3307579380e-02	 3.0137063658e-01
 1.0053666984e+00	 6.4089673330e-02	 3.3641017036e-01
 1.0046185608e+00	 7.4908156140e-02	 3.7795284957e-01
 1.0037503084e+00	 8.5761313544e-02	 4.2594567243e-01
 1.0027606726e+00	 9.6647389719e-02	 4.8040638231e-01
 1.0016484134e+00	 1.0756458763e-01	 5.4141233596e-01
 1.0133930467e+00	 5.3699546876e-02	 5.0591549712e-01
 1.0127591006e+00	 6.4560920928e-02	 5.3831244564e-01
 1.0120054620e+00	 7.5458951406e-02	 5.7675694519e-01
 1.0111308254e+00	 8.6391911437e-02	 6.2114655568e-01
 1.0101339129e+00	 9.7358032290e-02	 6.7145490919e-01
 1.0090134752e+00	 1.0835550371e-01	 7.2772005200e-01
 1.0207900762e+00	 5.4091514371e-02	 7.0093120874e-01
 1.0201515028e+00	 6.5032168526e-02	 7.3080816664e-01
 1.0193923631e+00	 7.6009746672e-02	 7.6630925773e-01
 1.0185113423e+00	 8.7022509331e-02	 8.0729724547e-01
 1.0175071531e+00	 9.8068674862e-02	 8.5371594758e-01
 1.0163785371e+00	 1.0914641980e-01	 9.0557798286e-01
 1.0281871057e+00	 5.4483481867e-02	 8.8588723567e-01
 1.0275439050e+00	 6.5503416124e-02	 9.1337253356e-01
 1.0267792643e+00	 7.6560541937e-02	 9.4607870399e-01
 1.0258918593e+00	 8.7653107225e-02	 9.8384838959e-01
 1.0248803933e+00	 9.8779317433e-02	 1.0266099370e+00
 1.0237435989e+00	 1.0993733588e-01	 1.0743644786e+00
 1.0355841353e+00	 5.4875449362e-02	 1.0602692302e+00
 1.0349363072e+00	 6.5974663722e-02	 1.0854965504e+00
 1.0341661655e+00	 7.7111337203e-02	 1.1155499138e+00
 1.0332723763e+00	 8.8283705119e-02	 1.1502665633e+00
 1.0322536336e+00	 9.9489960004e-02	 1.1895737754e+00
 1.0311086608e+00	 1.1072825197e-01	 1.2334752068e+00
 9.9428335150e-01	 1.0677367154e-01	 3.4729444971e-01
 9.9305634752e-01	 1.1763966448e-01	 4.2054770660e-01
 9.9170525032e-01	 1.2853286153e-01	 5.0048326890e-01
 9.9022892231e-01	 1.3945135864e-01	 5.8676083598e-01
